geo_key,county_name,township_name,village_name,electoral_district_name,Agree,Disagree,valid_votes,invalid_votes,total_votes,electorate,emitted_votes,uncast_votes,remaining_votes,turnout_ratio
10008080008,南投縣,中寮鄉,中寮村,南投縣第01選區,70,225,295,7,302,571,302,0,269,52.89
10008080016,南投縣,中寮鄉,內城村,南投縣第01選區,62,128,190,0,190,440,190,0,250,43.18
10008080003,南投縣,中寮鄉,八仙村,南投縣第01選區,122,214,336,5,341,712,341,0,371,47.89
10008080004,南投縣,中寮鄉,和興村,南投縣第01選區,71,179,250,3,253,553,253,0,300,45.75
10008080002,南投縣,中寮鄉,崁頂村,南投縣第01選區,51,140,191,3,194,436,194,0,242,44.5
10008080009,南投縣,中寮鄉,廣福村,南投縣第01選區,67,119,186,4,190,442,190,0,252,42.99
10008080001,南投縣,中寮鄉,廣興村,南投縣第01選區,120,199,319,2,321,691,321,0,370,46.45
10008080007,南投縣,中寮鄉,復興村,南投縣第01選區,38,81,119,3,122,246,122,0,124,49.59
10008080015,南投縣,中寮鄉,永和村,南投縣第01選區,58,164,222,2,224,465,224,0,241,48.17
10008080006,南投縣,中寮鄉,永平村,南投縣第01選區,218,545,763,8,771,1529,771,0,758,50.43
10008080010,南投縣,中寮鄉,永福村,南投縣第01選區,153,399,552,8,560,1240,560,0,680,45.16
10008080017,南投縣,中寮鄉,永芳村,南投縣第01選區,62,162,224,1,225,409,225,0,184,55.01
10008080012,南投縣,中寮鄉,清水村,南投縣第01選區,110,264,374,6,380,792,380,0,412,47.98
10008080018,南投縣,中寮鄉,爽文村,南投縣第01選區,67,140,207,3,210,404,210,0,194,51.98
10008080005,南投縣,中寮鄉,福盛村,南投縣第01選區,92,206,298,4,302,605,302,0,303,49.92
10008080011,南投縣,中寮鄉,義和村,南投縣第01選區,147,279,426,2,428,987,428,0,559,43.36
10008080013,南投縣,中寮鄉,龍安村,南投縣第01選區,115,159,274,5,279,608,279,0,329,45.89
10008080014,南投縣,中寮鄉,龍岩村,南投縣第01選區,72,212,284,6,290,571,290,0,281,50.79
NA,南投縣,中寮鄉,NA,NA,1695,3815,5510,72,5582,11701,5582,0,6119,47.71
10008130002,南投縣,仁愛鄉,中正村,南投縣第01選區,5,19,24,1,25,65,25,0,40,38.46
10008130003,南投縣,仁愛鄉,互助村,南投縣第01選區,6,33,39,0,39,108,39,0,69,36.11
10008130005,南投縣,仁愛鄉,力行村,南投縣第01選區,0,4,4,0,4,17,4,0,13,23.53
10008130010,南投縣,仁愛鄉,南豐村,南投縣第01選區,50,163,213,1,214,490,214,0,276,43.67
10008130009,南投縣,仁愛鄉,大同村,南投縣第01選區,98,384,482,8,490,1033,490,0,543,47.43
10008130017,南投縣,仁愛鄉,德鹿谷村,南投縣第01選區,0,2,2,0,2,24,2,0,22,8.33
10008130004,南投縣,仁愛鄉,新生村,南投縣第01選區,2,19,21,1,22,49,22,0,27,44.9
10008130011,南投縣,仁愛鄉,春陽村,南投縣第01選區,5,14,19,0,19,71,19,0,52,26.76
10008130014,南投縣,仁愛鄉,榮興村,南投縣第01選區,0,8,8,1,9,29,9,0,20,31.03
10008130001,南投縣,仁愛鄉,法治村,南投縣第01選區,4,8,12,1,13,32,13,0,19,40.62
10008130006,南投縣,仁愛鄉,發祥村,南投縣第01選區,5,12,17,1,18,75,18,0,57,24
10008130012,南投縣,仁愛鄉,精英村,南投縣第01選區,10,29,39,0,39,92,39,0,53,42.39
10008130015,南投縣,仁愛鄉,翠華村,南投縣第01選區,12,32,44,1,45,160,45,0,115,28.12
10008130013,南投縣,仁愛鄉,萬豐村,南投縣第01選區,3,13,16,1,17,52,17,0,35,32.69
10008130008,南投縣,仁愛鄉,親愛村,南投縣第01選區,5,27,32,1,33,100,33,0,67,33
10008130016,南投縣,仁愛鄉,都達村,南投縣第01選區,1,3,4,0,4,26,4,0,22,15.38
NA,南投縣,仁愛鄉,NA,NA,206,770,976,17,993,2423,993,0,1430,40.98
10008120001,南投縣,信義鄉,人和村,南投縣第02選區,16,39,55,0,55,158,55,0,103,34.81
10008120015,南投縣,信義鄉,卡里布安村,南投縣第02選區,2,19,21,0,21,45,21,0,24,46.67
10008120009,南投縣,信義鄉,同富村,南投縣第02選區,130,403,533,12,545,1246,545,0,701,43.74
10008120002,南投縣,信義鄉,地利村,南投縣第02選區,16,9,25,0,25,73,25,0,48,34.25
10008120005,南投縣,信義鄉,愛國村,南投縣第02選區,49,159,208,1,209,434,209,0,225,48.16
10008120013,南投縣,信義鄉,新鄉村,南投縣第02選區,13,7,20,0,20,54,20,0,34,37.04
10008120004,南投縣,信義鄉,明德村,南投縣第02選區,125,308,433,5,438,905,438,0,467,48.4
10008120008,南投縣,信義鄉,望美村,南投縣第02選區,25,76,101,0,101,289,101,0,188,34.95
10008120011,南投縣,信義鄉,東埔村,南投縣第02選區,39,62,101,0,101,276,101,0,175,36.59
10008120003,南投縣,信義鄉,潭南村,南投縣第02選區,1,3,4,1,5,13,5,0,8,38.46
10008120010,南投縣,信義鄉,神木村,南投縣第02選區,37,177,214,1,215,538,215,0,323,39.96
10008120007,南投縣,信義鄉,羅娜村,南投縣第02選區,32,77,109,2,111,225,111,0,114,49.33
10008120006,南投縣,信義鄉,自強村,南投縣第02選區,86,190,276,1,277,608,277,0,331,45.56
10008120014,南投縣,信義鄉,豐丘村,南投縣第02選區,55,80,135,1,136,309,136,0,173,44.01
10008120012,南投縣,信義鄉,雙龍村,南投縣第02選區,0,6,6,0,6,14,6,0,8,42.86
NA,南投縣,信義鄉,NA,NA,626,1615,2241,24,2265,5187,2265,0,2922,43.67
10008010016,南投縣,南投市,三和里,南投縣第02選區,521,888,1409,11,1420,2527,1420,0,1107,56.19
10008010003,南投縣,南投市,三民里,南投縣第02選區,165,276,441,1,442,799,442,0,357,55.32
10008010015,南投縣,南投市,三興里,南投縣第02選區,914,1719,2633,42,2675,5102,2675,0,2427,52.43
10008010004,南投縣,南投市,仁和里,南投縣第02選區,125,151,276,1,277,452,277,0,175,61.28
10008010033,南投縣,南投市,光明里,南投縣第02選區,55,312,367,7,374,608,374,0,234,61.51
10008010032,南投縣,南投市,光榮里,南投縣第02選區,64,380,444,3,447,782,447,0,335,57.16
10008010031,南投縣,南投市,光華里,南投縣第02選區,45,255,300,3,303,505,303,0,202,60
10008010034,南投縣,南投市,光輝里,南投縣第02選區,69,186,255,0,255,456,255,0,201,55.92
10008010030,南投縣,南投市,內新里,南投縣第02選區,569,1098,1667,33,1700,3131,1700,0,1431,54.3
10008010029,南投縣,南投市,內興里,南投縣第02選區,767,1954,2721,31,2752,5055,2752,0,2303,54.44
10008010014,南投縣,南投市,千秋里,南投縣第02選區,161,288,449,8,457,949,457,0,492,48.16
10008010005,南投縣,南投市,南投里,南投縣第02選區,111,134,245,7,252,479,252,0,227,52.61
10008010018,南投縣,南投市,嘉和里,南投縣第02選區,772,1324,2096,17,2113,4363,2113,0,2250,48.43
10008010017,南投縣,南投市,嘉興里,南投縣第02選區,447,577,1024,15,1039,2077,1039,0,1038,50.02
10008010007,南投縣,南投市,崇文里,南投縣第02選區,173,262,435,4,439,856,439,0,417,51.29
10008010012,南投縣,南投市,平和里,南投縣第02選區,1084,1864,2948,23,2971,5900,2971,0,2929,50.36
10008010023,南投縣,南投市,平山里,南投縣第02選區,998,1684,2682,22,2704,5280,2704,0,2576,51.21
10008010002,南投縣,南投市,康壽里,南投縣第02選區,295,430,725,6,731,1266,731,0,535,57.74
